LAST SEEN   TYPE      REASON              OBJECT                          MESSAGE
8m13s       Warning   Unhealthy           pod/gateway-7b56658758-2jk44    Readiness probe failed: Get "http://10.42.0.228:9302/readyz": dial tcp 10.42.0.228:9302: connect: connection refused
8m7s        Normal    Started             pod/gateway-7b56658758-7xgqw    Container started
8m7s        Warning   Unhealthy           pod/gateway-7b56658758-7xgqw    Readiness probe failed: Get "http://10.42.0.229:9302/readyz": dial tcp 10.42.0.229:9302: connect: connection refused
8m7s        Normal    Pulled              pod/gateway-7b56658758-7xgqw    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
8m7s        Normal    Created             pod/gateway-7b56658758-7xgqw    Container created
3m33s       Normal    ScalingReplicaSet   deployment/k6                   Scaled down replica set k6-67778c768f from 1 to 0
3m33s       Normal    SuccessfulDelete    replicaset/k6-67778c768f        Deleted pod: k6-67778c768f-n7f8d
3m33s       Normal    Killing             pod/k6-67778c768f-n7f8d         Stopping container k6
3m3s        Normal    ScalingReplicaSet   deployment/k6                   Scaled up replica set k6-564856b977 from 0 to 1
3m3s        Normal    SuccessfulCreate    replicaset/k6-564856b977        Created pod: k6-564856b977-nmk8c
3m2s        Normal    Started             pod/k6-564856b977-nmk8c         Container started
3m2s        Normal    Created             pod/k6-564856b977-zv6sz         Container created
3m2s        Normal    Pulled              pod/k6-564856b977-zv6sz         Container image "benkz/k6:capacity-100-v2" already present on machine and can be accessed by the pod
3m2s        Normal    ScalingReplicaSet   deployment/k6                   Scaled up replica set k6-564856b977 from 1 to 2
3m2s        Normal    SuccessfulCreate    replicaset/k6-564856b977        Created pod: k6-564856b977-zv6sz
3m2s        Normal    Created             pod/k6-564856b977-nmk8c         Container created
3m2s        Normal    Pulled              pod/k6-564856b977-nmk8c         Container image "benkz/k6:capacity-100-v2" already present on machine and can be accessed by the pod
3m1s        Normal    Started             pod/k6-564856b977-zv6sz         Container started
2m59s       Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-nzt6v
2m59s       Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-nrglc
2m59s       Normal    Killing             pod/gateway-7b56658758-nrglc    Stopping container gateway
2m54s       Normal    Started             pod/gateway-5db47b46f4-nzt6v    Container started
2m54s       Normal    Pulled              pod/gateway-5db47b46f4-nzt6v    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
2m54s       Warning   Unhealthy           pod/gateway-5db47b46f4-nzt6v    Readiness probe failed: Get "http://10.42.0.232:9302/readyz": dial tcp 10.42.0.232:9302: connect: connection refused
2m54s       Normal    Created             pod/gateway-5db47b46f4-nzt6v    Container created
2m53s       Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-jlzwd
2m53s       Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-2jk44
2m53s       Normal    Killing             pod/gateway-7b56658758-2jk44    Stopping container gateway
2m48s       Normal    Created             pod/gateway-5db47b46f4-jlzwd    Container created
2m48s       Warning   Unhealthy           pod/gateway-5db47b46f4-jlzwd    Readiness probe failed: Get "http://10.42.0.233:9302/readyz": dial tcp 10.42.0.233:9302: connect: connection refused
2m48s       Normal    Started             pod/gateway-5db47b46f4-jlzwd    Container started
2m48s       Normal    Pulled              pod/gateway-5db47b46f4-jlzwd    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
2m47s       Normal    Killing             pod/gateway-7b56658758-7xgqw    Stopping container gateway
2m47s       Normal    ScalingReplicaSet   deployment/gateway              (combined from similar events): Scaled up replica set gateway-5db47b46f4 from 2 to 3
2m47s       Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-7xgqw
2m47s       Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-84npl
2m42s       Warning   Unhealthy           pod/gateway-5db47b46f4-84npl    Readiness probe failed: Get "http://10.42.0.234:9302/readyz": dial tcp 10.42.0.234:9302: connect: connection refused
2m42s       Normal    Pulled              pod/gateway-5db47b46f4-84npl    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
2m42s       Normal    Created             pod/gateway-5db47b46f4-84npl    Container created
2m42s       Normal    Started             pod/gateway-5db47b46f4-84npl    Container started
